   s  energy(a.u.)
  -2.309  -1224.719728839  
  -2.279  -1224.719693793  
  -2.249  -1224.719658462  
  -2.220  -1224.719622837  
  -2.190  -1224.719586907  
  -2.160  -1224.719550662  
  -2.130  -1224.719514091  
  -2.100  -1224.719477183  
  -2.070  -1224.719439926  
  -2.040  -1224.719402309  
  -2.010  -1224.719364320  
  -1.980  -1224.719325946  
  -1.950  -1224.719287173  
  -1.920  -1224.719247989  
  -1.890  -1224.719208381  
  -1.860  -1224.719168334  
  -1.830  -1224.719127833  
  -1.800  -1224.719086865  
  -1.770  -1224.719045414  
  -1.740  -1224.719003466  
  -1.710  -1224.718961006  
  -1.680  -1224.718918017  
  -1.650  -1224.718874485  
  -1.620  -1224.718830393  
  -1.590  -1224.718785728  
  -1.560  -1224.718740472  
  -1.530  -1224.718694613  
  -1.500  -1224.718648135  
  -1.470  -1224.718601025  
  -1.440  -1224.718553269  
  -1.410  -1224.718504857  
  -1.380  -1224.718455778  
  -1.350  -1224.718406022  
  -1.320  -1224.718355584  
  -1.290  -1224.718304459  
  -1.260  -1224.718252644  
  -1.230  -1224.718200140  
  -1.200  -1224.718146954  
  -1.170  -1224.718093094  
  -1.140  -1224.718038573  
  -1.110  -1224.717983411  
  -1.080  -1224.717927632  
  -1.050  -1224.717871268  
  -1.020  -1224.717814358  
  -0.990  -1224.717756947  
  -0.960  -1224.717699088  
  -0.930  -1224.717640846  
  -0.900  -1224.717582290  
  -0.870  -1224.717523503  
  -0.840  -1224.717464572  
  -0.810  -1224.717405598  
  -0.780  -1224.717346689  
  -0.750  -1224.717287960  
  -0.720  -1224.717229539  
  -0.690  -1224.717171559  
  -0.660  -1224.717114162  
  -0.630  -1224.717057496  
  -0.600  -1224.717001716  
  -0.570  -1224.716946984  
  -0.540  -1224.716893465  
  -0.510  -1224.716841328  
  -0.480  -1224.716790748  
  -0.450  -1224.716741900  
  -0.420  -1224.716694962  
  -0.390  -1224.716650113  
  -0.360  -1224.716607532  
  -0.330  -1224.716567397  
  -0.300  -1224.716529887  
  -0.270  -1224.716495177  
  -0.240  -1224.716463441  
  -0.210  -1224.716434850  
  -0.180  -1224.716409570  
  -0.150  -1224.716387765  
  -0.120  -1224.716369594  
  -0.090  -1224.716355210  
  -0.060  -1224.716344763  
  -0.030  -1224.716338395  
  -0.000  -1224.716336242  
   0.030  -1224.716338440  
   0.060  -1224.716345109  
   0.090  -1224.716356369  
   0.120  -1224.716372331  
   0.150  -1224.716393100  
   0.180  -1224.716418773  
   0.210  -1224.716449441  
   0.240  -1224.716485185  
   0.270  -1224.716526082  
   0.300  -1224.716572200  
   0.330  -1224.716623598  
   0.360  -1224.716680331  
   0.390  -1224.716742444  
   0.420  -1224.716809976  
   0.450  -1224.716882958  
   0.480  -1224.716961413  
   0.510  -1224.717045359  
   0.540  -1224.717134806  
   0.570  -1224.717229756  
   0.600  -1224.717330205  
   0.630  -1224.717436144  
   0.660  -1224.717547556  
   0.690  -1224.717664416  
   0.720  -1224.717786697  
   0.750  -1224.717914363  
   0.780  -1224.718047373  
   0.810  -1224.718185680  
   0.840  -1224.718329234  
   0.870  -1224.718477977  
   0.900  -1224.718631847  
   0.930  -1224.718790778  
   0.960  -1224.718954699  
   0.990  -1224.719123534  
   1.020  -1224.719297205  
   1.050  -1224.719475628  
   1.080  -1224.719658716  
   1.110  -1224.719846379  
   1.140  -1224.720038523  
   1.170  -1224.720235052  
   1.200  -1224.720435866  
   1.230  -1224.720640863  
   1.260  -1224.720849939  
   1.290  -1224.721062987  
   1.320  -1224.721279898  
   1.350  -1224.721500560  
   1.380  -1224.721724863  
   1.410  -1224.721952692  
   1.440  -1224.722183931  
   1.470  -1224.722418464  
   1.500  -1224.722656174  
   1.530  -1224.722896942  
   1.560  -1224.723140649  
   1.590  -1224.723387176  
   1.620  -1224.723636403  
   1.650  -1224.723888209  
   1.680  -1224.724142474  
   1.710  -1224.724399079  
   1.740  -1224.724657902  
   1.770  -1224.724918825  
   1.800  -1224.725181727  
   1.830  -1224.725446490  
